7zip 24.09-3
gdm 48.0-1
gegl 0.4.58-1
gendesk 1.0.10-1
geoclue 2.7.2-1
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gettext 0.24-1
ghostscript 10.05.0-3
giflib 5.2.2-1
gimp 3.0.2-2
git 2.49.0-1
git-lfs 3.6.1-1
gjs 2:1.84.1-1
glances 4.3.1-1
glew 2.2.0-7
glfw 3.4-2
glib-networking 1:2.80.1-1
glib2 2.84.1-1
glib2-docs 2.84.1-1
glibc 2.41+r9+ga900dbaf70f0-1
glibmm 2.66.8-1
glibmm-2.68 2.84.0-1
glslang 15.2.0-2
glu 9.0.3-2
glycin 1.2.0-1
gmp 6.3.0-2
gn 0.2223.6e8e0d6d-1
gnome-app-list 3.0-1
gnome-autoar 0.4.5-1
gnome-backgrounds 48.0-1
gnome-bluetooth-3.0 47.1-1
gnome-browser-connector 42.1-7
gnome-calculator 48.0.2-1
gnome-calendar 48.1-1
gnome-characters 48.0-1
gnome-clocks 48.0-1
gnome-color-manager 3.36.2-1
gnome-connections 48.0-2
gnome-console 48.0.1-1
gnome-contacts 48.0-1
gnome-control-center 48.0-1
gnome-desktop 1:44.1-1
gnome-desktop-4 1:44.1-1
gnome-desktop-common 1:44.1-1
gnome-disk-utility 46.1-1
gnome-font-viewer 48.0-1
gnome-keybindings 48.0-1
gnome-keyring 1:48.0-1
gnome-logs 45.0-1
gnome-maps 48.1-1
gnome-menus 3.36.0-3
gnome-music 1:48beta-2
gnome-online-accounts 3.54.1-1
gnome-remote-desktop 48.0-2
gnome-session 47.0.1-1
gnome-settings-daemon 48.0-1
gnome-shell 1:48.0-1
gnome-shell-extensions 48.0-1
gnome-software 48.0-1
gnome-system-monitor 48.0-1
gnome-text-editor 48.2-1
gnome-tour 48.1-1
gnome-tweaks 46.1-2
gnome-user-docs 48.0-1
gnome-user-share 48.0-1
gnome-weather 48.0-1
gnu-free-fonts 20120503-8
gnulib-l10n 20241231-1
gnupg 2.4.7-1
gnutls 3.8.9-1
go 2:1.24.2-1
gobject-introspection 1.84.0-1
gobject-introspection-runtime 1.84.0-1
gom 0.5.3-2
goverlay 1.3_3-1
gpart 0.3-5
gparted 1.7.0-1
gperf 3.1-5
gperftools 2.16-1
gpgme 1.24.2-1
gpm 1.20.7.r38.ge82d1a6-6
grantlee 5.3.1-2
grantleetheme 24.12.3-1
graphene 1.10.8-2
graphite 1:1.3.14-4
graphviz 12.2.1-1
grep 3.11-1
grilo 0.3.16-1
grilo-plugins 1:0.3.16+r46+gea3afa8c-1
groff 1.23.0-7
grub 2:2.12.r260.gaae2ea61-1
grub-customizer 5.2.5-1
grub-theme-vimix 20190605-3
gsettings-desktop-schemas 48.0-1
gsettings-system-schemas 48.0-1
gsfonts 20200910-4
gsl 2.8-1
gsm 1.0.22-2
gsound 1.0.3-3
gspell 1.14.0-2
gssdp 1.6.3-2
gssproxy 0.9.2-1
gst-devtools-libs 1.26.0-3
gst-editing-services 1.26.0-3
gst-libav 1.26.0-3
gst-plugin-gtk 1.26.0-3
gst-plugin-gtk4 0.13.5-1
gst-plugin-pipewire 1:1.4.1-1
gst-plugins-bad 1.26.0-3
gst-plugins-bad-libs 1.26.0-3
gst-plugins-base 1.26.0-3
gst-plugins-base-libs 1.26.0-3
gst-plugins-good 1.26.0-3
gst-plugins-ugly 1.26.0-3
gst-python 1.26.0-3
gstreamer 1.26.0-3
gtest 1.16.0-2
gtk-doc 1.34.0-3
gtk-update-icon-cache 1:4.18.3-1
gtk-vnc 1.5.0-1
gtk2 2.24.33-5
gtk3 1:3.24.49-1
gtk4 1:4.18.3-1
gtkmm-4.0 4.18.0-2
gtkmm3 3.24.10-1
gtksourceview4 4.8.4-1
gtksourceview5 5.16.0-1
gtkspell3 3.0.10-3
gts 0.7.6.121130-3
guile 3.0.10-1
gulp 5.0.0-1
gupnp 1:1.6.8-1
gupnp-av 0.14.3-1
gupnp-dlna 0.12.0-3
gupnp-igd 1.6.0-1
gvfs 1.57.2-2
gvfs-afc 1.57.2-2
gvfs-dnssd 1.57.2-2
gvfs-goa 1.57.2-2
gvfs-google 1.57.2-2
gvfs-gphoto2 1.57.2-2
gvfs-mtp 1.57.2-2
gvfs-nfs 1.57.2-2
gvfs-onedrive 1.57.2-2
gvfs-smb 1.57.2-2
gvfs-wsdd 1.57.2-2
gzip 1.13-4
handbrake 1.9.2-1
harfbuzz 11.0.0-1
harfbuzz-icu 11.0.0-1
hdf5 1.14.5-1
hdparm 9.65-2
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
htop 3.4.0-1
http-parser 2.9.4-2
hunspell 1.7.2-2
hwdata 0.394-1
hwinfo 23.4-1
hwloc 2.12.0-1
hyphen 2.8.8-6
i2c-tools 4.4-2
iana-etc 20250328-1
icu 76.1-1
id3lib 3.8.3-19
iio-sensor-proxy 3.6-1
ijs 0.35-6
imagemagick 7.1.1.47-1
imath 3.1.12-3
imlib2 1.12.4-1
inetutils 2.5-1
innoextract 1.9-12
intel-ucode 20250211-1
intltool 0.51.0-6
iproute2 6.14.0-1
iptables 1:1.8.11-2
iputils 20240905-1
iso-codes 4.17.0-1
itstool 1:2.0.7-3
iw 6.9-1
iwd 3.6-1
jack2 1.9.22-1
jansson 2.14.1-1
